report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:13,13:20,0.1167,6932.000,26.000,3.033,0.000003033,Due to Bikaner ICT overloading,manual_from_scanned_pdf,medium,6,Source is image-only under pdftotext; values transcribed from rendered page 6.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:20,15:05,1.7500,6240.000,24.000,42.000,0.000042000,Due to Bikaner ICT overloading,manual_from_scanned_pdf,medium,7,Source is image-only under pdftotext; values transcribed from rendered page 7.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,15:05,15:20,0.2500,7348.000,10.000,2.500,0.000002500,Due to Bikaner ICT overloading,manual_from_scanned_pdf,medium,8,Source is image-only under pdftotext; values transcribed from rendered page 8.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_06 May - 2026,2026-05-06,solar,10:50,15:07,4.2833,6889.000,55.000,235.583,0.000235583,1 Gajner overloading 220 KV BIKANER - GAJNER LINE,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fb3abd1450d_Curtailment_RE_Power_06May-2026.pdf
Curtailment_RE_Power_06 May - 2026,2026-05-06,solar,10:47,15:08,4.3500,6889.000,110.000,478.500,0.000478500,2 DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fb3abd1450d_Curtailment_RE_Power_06May-2026.pdf
Curtailment_RE_Power_05 May - 2026,2026-05-05,solar,10:33,15:01,4.4667,6578.000,50.000,223.333,0.000223333,1 Gajner overloading 220 KV BIKANER - GAJNER LINE,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fac1e7f37a9_Curtailment_RE_Power_05May-2026.pdf
Curtailment_RE_Power_05 May - 2026,2026-05-05,solar,10:48,14:56,4.1333,6796.000,108.000,446.400,0.000446400,2 DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69fac1e7f37a9_Curtailment_RE_Power_05May-2026.pdf
RE_Curtailment_03_May_2026,2026-05-03,solar,08:51,15:04,6.2167,4112.000,1250.000,7770.833,0.007770833,1 ALL RE (SOLAR AND WIND) Kindly Impose 30% curtailment on all solar,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9721d9fbb3_FormatofRECurtailmenteventfoRDT03.05.2026.pdf
RE_Curtailment_03_May_2026,2026-05-03,wind,08:51,15:04,6.2167,328.000,98.000,609.233,0.000609233,1 ALL RE (SOLAR AND WIND) Kindly Impose 30% curtailment on all solar,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9721d9fbb3_FormatofRECurtailmenteventfoRDT03.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,10:07,12:10,2.0500,5892.000,1592.000,3263.600,0.003263600,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,wind,10:07,12:10,2.0500,221.000,25.000,51.250,0.000051250,1 ALL RE (SOLAR AND WIND) Kindly Impose 40% curtailment on all solar,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,12:10,12:53,0.7167,4320.000,895.000,641.417,0.000641417,2 ALL RE (SOLAR AND WIND) KINDLY LIFT BACKDOWN ON RE,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,wind,12:10,12:53,0.7167,187.000,10.000,7.167,0.000007167,2 ALL RE (SOLAR AND WIND) KINDLY LIFT BACKDOWN ON RE,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
RE_Curtailment_04_MAY_2026,2026-05-04,solar,13:08,14:18,1.1667,6749.000,125.000,145.833,0.000145833,Bhadla DUE TO OVERLOADING OF BHADLA ICT'S,pdf_text_event_row,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69f9725538e56_FormatofRECurtailmenteventfoRDT04.05.2026.pdf
